s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,Y
0.0910205975858711,0.06838048731559697,0.1590708805573616,0.14291315088412287,0.11191711402056126,0.0871014553144781,0.06473085225927085,0.11804184669826176,0.12740340444752685,0.09501241343924552,1.2179891714712838
0.10230378529514535,0.2581930863524562,0.012015058434695747,0.11040521006387008,0.0029349805163637332,0.15161345341011181,0.07096484086858375,0.11041869917940855,0.12582684880152098,0.08074671487687417,1.2543357026268092
0.11658391573113847,0.11637016603871815,0.016194171155581638,0.028226496510318916,0.027675149490133177,0.07331164483234386,0.05271148451209894,0.07445218150993059,0.022011939583887738,0.12622974676520213,1.1561042190575124
0.1266620831117119,0.18258663450185866,0.07208410997115189,0.05023809903431323,0.11433141463783322,0.11136627982404725,0.13309830067701572,0.1254614715698335,0.09005282501831403,0.051205373335515884,1.2317361123771664
0.16413509639597712,0.13136504807390584,0.21281672172736382,0.21496052159287524,0.11136007810096546,0.1984958302241418,0.14466110498683135,0.16384205325209236,0.12239625003965013,0.09849674522326428,1.3354219724929797
0.12249902840160878,0.2078965320001484,0.14128202664611897,0.11283449878953172,0.15718166083453894,0.1459368787544671,0.07665975681433435,0.1383158118694738,0.224442456910931,0.07035821279306465,1.3007806533386956
0.1098939815104567,0.1259006445383277,0.13569335052863185,0.1771936088985937,0.15092474462604036,0.09370032158039364,0.10813912110666439,0.08347750201739419,0.17054554586759915,0.08801384279263358,1.2553119127783496
0.09402980548371723,0.17420076683870095,0.06579560209601089,0.08130975595506303,0.05121194463513043,0.10540116452489628,0.05248692496479025,0.10536852310745642,0.08150644300437465,0.10459978498153846,1.2182390845891191
0.23559220964885041,0.13636969989635364,0.30118680065875525,0.3186222859001282,0.17917878663902606,0.19217644753363144,0.1831187160071231,0.2951891209523841,0.2717769473122226,0.18206272793875558,1.461206952981605
0.06571048293160922,0.14817418869994697,0.13083721762214326,0.19659535592796729,0.13731184845560773,0.23422553921323577,0.13845914112070085,0.11783279168247128,0.1684457617989863,0.02482136670203533,1.2970547083416395
0.03962936111040684,0.2534890841464621,0.16329174794560702,0.1171953153741012,0.1522284283363915,0.1420768521518341,0.10732520065418796,0.22231307427945035,0.11786170001622534,0.15616048512209899,1.3387314625667366
0.10365442153949775,0.13171570713517267,0.07168562395217529,0.08979304351512207,0.024860258549677456,0.023590294363879744,0.13645495165272237,0.06547812062409039,0.09109847028060923,0.1378580303294371,1.1670006916846676
0.1416029234218273,0.12935020597713467,0.046137798037100754,0.14787231432399725,0.10940727262142473,0.10767264678868434,0.18748415225207818,0.13221897858503093,0.14658614644581774,0.06244500122607467,1.2409630880209561
0.09134226387036587,0.13341313840432467,0.027320643210128052,0.19649640085998887,0.0463497119980174,0.06538352496411369,0.06369425216847784,0.061698863367219,0.03828751967214276,0.05924014591179791,1.1999627609574148
0.06189967749684806,0.15179148780197532,0.06684148925264498,0.0576916141332548,0.014640766456201965,0.15159473279023505,0.15381281759501936,0.11600850567882458,0.11851018785590806,0.0030950720531373876,1.1796208783625577
